place,information,lat,lng
The Royal Hawaiian,"It is often called the “Pink Palace”, is one of the oldest hotels in Hawaii and it is hard to miss its flamingo-pink exterior. You can walk around the hotel grounds, hang out in the lobby, have a coffee, and enjoy the beautiful architecture even if you are not staying there as a guest.",21.273166,-157.82399
Iolani Palace,"There is a small, free museum about old Hawaiian law inside.",21.3068,-157.8588
Aliʻiōlani Hale,"It is the Hawaii State Supreme Court building. There is a small, free museum about old Hawaiian law inside.",21.3055,-157.8601
Diamond Head Crater Hike,"The popular hike of the iconic, dormant volcano offers some of the best views of Honolulu.",21.2629,-157.8042
Hanauma Bay,Hanauma Bay is a Nature Preserve and a very popular and very crowded snorkeling spot on Oahu. The sheltered bay harbors a coral reef that is home to a huge variety of fish.,21.269,-157.6938
Tantalus Lookout,The Tantalus lookout is another spot from where you can enjoy stunning panoramic views of Honolulu. From there you can also see the Diamond Head volcano and even Pearl Harbor.,21.3134,-157.8228
Lyon Arboretum,The Lyon Arboretum is a 200-acre tropical rainforest managed by the University of Hawaii and used for studying and conserving plants from over the world.,21.333,-157.8015
Moanalua Gardens,Moanalua Gardens was once home to the Kamehameha royal family that founded the Kingdom of Hawaii.,21.3475,-157.8936
Pearl Harbor,"If you want to learn about Hawaii’s World War Two history, a visit to Pearl Harbor is a “must-do”.",21.3662,-157.9369
Ko Olina Lagoons,It is a crescent-shaped lagoons that provide calm water for swimming even when the surf outside is choppy.,21.3283,-158.122
Halona Blowhole Lookout,The blowhole is a lava tube under the water that acts like a wave-powered geyser. ,21.2824,-157.677
Makapu'u Lookout,"This lookout is located a little further up the road from the Halona Blowhole. From there you get a gorgeous view of the Makapu'u Beach Park, the mountains, the cliffs, and the nearby islands. ",21.3094,-157.6568
Bellows Beach,It is popular mainly with the locals who want to get away from the crowds. There is also a large ironwood-shaded camping area.,21.3575,-157.709
Lanikai Beach," Lanikai has been rated one of the top ten beaches in the world. Its sand is powder soft, the water is clear and turquoise-blue, and the two little islands, the Mokaluas, just offshore are a magnet for photographers.",21.3931,-157.7154
Ho'omaluhia Botanical Garden,"It is a 400-acre botanical garden, planted with tropical trees and shrubs from all over the world.",21.3865,-157.805
Byodo-In Temple,"Byodo-In is a non-functioning Japanese temple. t was built in 1968 as a tribute to the Japanese emigrants and it is a small-scale replica of a famous Buddhist temple complex in Uji, Japan.",21.4307,-157.8322
Macadamia Nut Farm Outlet,"Tropical Farms is a macadamia nut outlet that sells flavored macadamia nuts, coffee, and other local goods.",21.5105,-157.8514
Kualoa Ranch,"Kualoa Ranch is a huge nature reserve and cattle ranch, offering tourist activities like jungle tours, movie set tours, ATV tours, ziplining, horseback riding and much more.",21.5207,-157.8373
Kualoa Beach Park,"This large, grassy, and not too crowded park is located just across the road from Kualoa Ranch.",21.513,-157.8401
Dole Pineapple Plantation,"The pineapple is one of the most recognizable symbols of the Hawaiian Islands and at one time, the Aloha State was the leading producer of pineapples in the world.",21.526052,-158.037648
Historic Hale'iwa Town,"Hale'iwa is a colorful, surfer-dude town, filled with art galleries, rustic surf shops, cafés and century-old buildings.",21.5818,-158.1043
Turtle Beach,"Turtle Beach, or Laniakea Beach, is where you can see huge green sea turtles in their natural habitat.",21.7054,-157.9972
Waimea Bay Beach,"The word Waimea means ""reddish-brown water"" in Hawaiian and the name probably comes from the reddish-brown-colored silt that the Waimea River sometimes brings down from the mountain range.",21.6401,-158.0636
Banzai Pipeline,"If you want to see the world-famous Banzai Pipeline, which is known for its massive waves, you need to head to 'Ehukai Beach in Pūpūkea.",21.6649,-158.053
Sunset Beach,Sunset Beach is another popular surfing spot during the winter and a swimming and snorkeling paradise during the summer when the water is usually calm.,21.6743,-158.0403
Waimea Falls,"Located in Waimea Valley, this waterfall hike is located in a botanical park, along with visitor attractions and cultural activities.",21.6361,-158.054
Manoa Falls,A glorious 150-foot waterfall pouring down a massive rock wall.,21.342,-157.7992
Lulumahu Falls,Lulumahu Falls requires you to obtain a permit to access this hike as it is on government property. ,21.3537,-157.8116
Jackass Ginger Pool,"While it's worth hiking the full five miles of Nuuanu-Judd's grassy trails and scenic ridges, you can enjoy near-instant gratification by hiking the 1-mile loop to the Jackass Ginger pools",21.347003,-157.820794
Likeke Falls,"Tucked along a busy highway, the hike to this hidden waterfall passes the scenic Nuuanu Pali Lookout",21.3688,-157.7925
Kahana Bay Beach Park,"Kahana Bay Beach Park is known for its salt and pepper sand, kamani trees, and jagged cliffs.",21.5562,-157.875
Malaekahana Beach,"Malaekahana Beach is a mile-long beach that features white sand and offers activities like ball games, relaxing in the sun, and hiking.",21.6706,-157.9394
Sandy Beach,One of the most popular beaches for body boarding and surfing due to its great waves and close shore break.,21.2857,-157.6727
Pokai Bay,"If you are searching for a beach where you can swim, snorkel, and be one of the only visitors, head out to Pokai Bay and enjoy this secluded shoreline. It is surrounded by a reef, so the waters are calm and children can go snorkeling.",21.4393,-158.1883
Ala Moana Beach Park,"This half-mile-long piece of tropical paradise is protected by an outer reef, which means the waters are calm and ideal for swimming and paddle boarding.",21.29,-157.8477
Makapuu Beach Park,Makapuu Beach Park is quite popular among body surfers and it can be dangerous for swimming during both summer and winter seasons because of strong currents.,21.3111,-157.6601
Bellows Field Beach Park,"Well-known for its soft sand and beautiful scenery, Bellows Field Beach Park is mostly visited by body surfers.",21.3575,-157.709
Makaha Beach Park,"It is a great place if you like swimming, surfing, and body boarding.",21.4764,-158.2204
Diamond Head Beach Park,"Although the beach is not very good for swimming due to the sharp and rocky reef near the shore, Diamond Head Beach Park is a surfers hotsp",21.2549,-157.8071
Nanakuli Beach Park,Nanakuli Beach Park features a protective coral which makes it a perfect destination for swimming.,21.3775,-158.1427
